District,State,Days,WetDays,ObsMean,ServedMean,RawRMSE,RMSE,Bias,WetF1,Recall,Precision,P90Err,MaxErr
Jagtial,Telangana,730,72,2.19,1.98,19.52,17.92,-0.21,0.298,0.5,0.212,7.99,312.7
Upper Subansiri,Arunachal Pradesh,365,71,2.13,12.17,15.55,17.9,10.04,0.343,0.718,0.226,35.83,67.1
Upper Siang,Arunachal Pradesh,365,73,2.77,12.72,16.59,17.82,9.94,0.367,0.795,0.239,30.41,66.5
Nirmal,Telangana,730,72,2.75,1.34,19.26,17.73,-1.41,0.367,0.5,0.29,6.82,298.1
Deoghar,Jharkhand,365,81,5.39,6.93,16.9,17.67,1.54,0.612,0.827,0.486,26.07,151.1
Hazaribagh,Jharkhand,365,120,7.21,11.62,16.42,17.59,4.42,0.803,0.85,0.761,30.49,101.0
Khandwa,Madhya Pradesh,365,98,6.34,3.41,17.87,17.17,-2.93,0.619,0.622,0.616,17.36,163.4
Mamit,Mizoram,365,104,5.54,11.48,13.85,16.78,5.93,0.652,0.827,0.538,30.77,70.9
Durg,Chhattisgarh,365,112,6.54,3.5,16.16,16.48,-3.04,0.655,0.67,0.641,18.68,176.5
Lepa Rada,Arunachal Pradesh,365,131,6.41,8.38,17.17,16.46,1.97,0.618,0.718,0.543,27.36,126.7
Kaushambi,Uttar Pradesh,365,73,4.78,2.71,18.02,16.4,-2.07,0.518,0.603,0.454,14.42,149.8
Gomati,Tripura,365,65,3.65,7.13,16.46,16.15,3.48,0.496,0.862,0.348,19.87,186.4
Nanded,Maharashtra,365,35,2.25,1.7,17.54,16.05,-0.55,0.274,0.457,0.195,7.36,265.5
Pathankot,Punjab,365,60,4.62,1.45,18.26,15.81,-3.17,0.089,0.1,0.08,16.22,138.2
Siang,Arunachal Pradesh,365,85,3.0,10.4,16.74,15.66,7.4,0.436,0.765,0.305,29.58,49.9
Rohtas,Bihar,365,72,4.55,4.09,17.35,15.65,-0.46,0.471,0.611,0.383,16.84,169.7
Varanasi,Uttar Pradesh,730,198,5.98,3.06,16.96,15.46,-2.92,0.553,0.556,0.55,18.05,115.5
Arwal,Bihar,365,94,5.85,4.14,16.81,15.03,-1.72,0.595,0.649,0.55,17.4,131.4
Prayagraj,Uttar Pradesh,730,118,3.85,3.0,14.65,14.94,-0.85,0.4,0.525,0.323,15.02,143.8
Adilabad,Telangana,365,70,5.47,1.98,16.25,14.93,-3.49,0.547,0.586,0.512,13.98,119.9
